frame,num_dets,num_tracks,unmatched_dets,active_ids
98,7,7,0,1;2;3;4;6;10;25
99,9,8,1,1;2;3;4;5;6;10;25
100,9,8,1,1;2;3;4;5;6;10;25
101,9,8,1,1;2;3;4;5;6;10;25
102,9,9,0,1;2;3;4;5;6;10;17;25
103,9,8,1,1;2;3;4;6;10;17;25
104,9,9,0,1;2;3;4;6;10;13;17;25
105,7,7,0,1;2;3;4;6;10;25
106,7,7,0,1;2;3;4;6;10;25
107,7,7,0,1;2;3;4;6;10;25
108,7,7,0,1;2;3;4;6;10;25
109,7,7,0,1;2;3;4;6;10;25
110,8,8,0,1;2;3;4;5;6;10;25
111,8,8,0,1;2;3;4;5;6;10;25
112,8,8,0,1;2;3;4;5;6;10;25
113,8,8,0,1;2;3;4;5;6;10;25
114,8,8,0,1;2;3;4;5;6;10;25
115,10,9,1,1;2;3;4;5;6;10;17;25
116,9,9,0,1;2;3;4;5;6;10;17;25
117,9,9,0,1;2;3;4;5;6;10;17;25
118,9,9,0,1;2;3;4;5;6;10;17;25
119,11,9,2,1;2;3;4;5;6;10;17;25
120,8,8,0,1;3;4;5;6;10;17;25
121,9,7,2,1;3;4;5;6;10;17
122,9,7,2,1;3;4;5;6;10;17
123,8,7,1,1;3;4;5;6;10;17
124,8,8,0,1;3;4;5;6;10;17;37
125,9,8,1,1;3;4;5;6;10;17;37
126,8,7,1,1;3;4;5;6;17;37
127,9,8,1,1;3;4;5;6;17;25;37
128,9,8,1,1;3;4;5;6;17;25;37
129,9,9,0,1;3;4;5;6;10;17;25;37
130,9,9,0,1;3;4;5;6;10;17;25;37
131,10,8,2,1;3;4;5;6;10;17;37
132,10,8,2,1;3;4;5;6;10;17;37
133,9,8,1,1;3;4;5;6;10;17;37
134,9,9,0,1;3;4;5;6;10;17;37;43
135,9,9,0,1;3;4;5;6;10;17;37;43
136,10,9,1,1;3;4;5;6;10;17;37;43
137,8,8,0,1;3;4;5;6;10;37;43
138,10,9,1,1;3;4;5;6;10;17;37;43
139,11,9,2,1;3;4;5;6;10;17;37;43
140,11,9,2,1;3;4;5;6;10;17;37;43
141,9,9,0,1;3;4;5;6;10;17;37;43
142,9,9,0,1;3;4;5;6;10;17;37;43
143,9,9,0,1;3;4;5;6;10;17;37;43
144,8,8,0,1;3;4;5;6;10;37;43
145,9,8,1,1;3;4;5;10;18;37;43
146,7,7,0,1;3;4;5;10;37;43
147,7,7,0,1;3;4;5;10;37;43
148,9,8,1,1;3;4;5;10;17;37;43
149,9,8,1,1;3;4;5;10;17;37;43
150,9,9,0,1;2;3;4;5;10;17;37;43
151,8,8,0,1;3;4;5;10;17;37;43
152,8,7,1,1;3;4;5;10;17;43
153,8,7,1,1;3;4;5;10;17;43
154,9,6,3,1;3;4;10;17;43
155,8,7,1,1;3;4;10;17;37;43
156,7,6,1,1;3;4;10;17;43
157,8,7,1,1;3;4;10;17;43;52
158,9,8,1,1;3;4;10;17;37;43;52
159,9,9,0,1;3;4;5;10;17;37;43;52
160,9,9,0,1;3;4;5;10;17;37;43;52
161,8,8,0,1;3;4;5;10;37;43;52
162,9,9,0,1;3;4;5;10;17;37;43;52
163,11,9,2,1;3;4;5;10;17;37;43;52
164,11,10,1,1;3;4;5;6;10;17;37;43;52
165,10,9,1,1;3;4;5;10;17;37;43;52
166,10,10,0,1;3;4;5;10;17;37;43;52;55
167,11,11,0,1;3;4;5;10;17;18;37;43;52;55
168,10,10,0,1;3;4;5;10;17;37;43;52;55
169,10,10,0,1;3;4;5;10;17;37;43;52;55
170,10,9,1,1;3;4;5;10;37;43;52;55
171,8,7,1,1;3;4;10;37;43;55
172,10,9,1,1;3;4;10;13;37;43;52;55
173,9,9,0,1;3;4;10;13;37;43;52;55
174,10,9,1,1;3;4;10;13;37;43;52;55
175,11,9,2,1;3;4;10;13;37;43;52;55
176,10,9,1,1;3;4;10;13;37;43;52;55
177,10,10,0,1;3;4;5;10;13;37;43;52;55
178,10,10,0,1;3;4;5;10;13;37;43;52;55
179,10,9,1,1;3;4;5;10;13;37;43;52
180,13,10,3,1;3;4;5;10;13;37;43;52;55
181,11,10,1,1;3;4;5;6;10;13;37;43;52
182,12,11,1,1;3;4;5;6;10;13;37;43;52;59
183,10,10,0,1;3;4;5;10;13;37;43;52;59
184,9,9,0,1;3;4;5;10;13;37;43;59
185,11,10,1,1;3;4;5;10;13;37;43;52;59
186,10,9,1,1;3;4;5;10;13;37;43;59
187,10,9,1,1;3;4;5;10;13;37;43;59
188,10,10,0,1;3;4;5;10;13;37;43;59;63
189,11,10,1,1;3;4;5;10;13;37;43;59;63
190,12,11,1,1;3;4;5;10;13;17;37;43;59;63
191,9,9,0,1;3;4;5;10;13;37;43;63
192,12,9,3,1;3;4;5;10;13;37;43;63
193,9,9,0,1;3;4;5;10;13;37;43;63
194,10,9,1,1;3;4;5;10;13;37;43;63
195,9,9,0,1;3;4;5;10;13;37;43;63
196,9,9,0,1;3;4;5;10;13;37;43;63
197,9,9,0,1;3;4;5;10;13;37;43;63
198,9,9,0,1;3;4;5;10;13;37;43;63
199,9,9,0,1;3;4;5;10;13;37;43;63
200,9,9,0,1;3;4;5;10;13;37;43;63
201,10,9,1,1;3;4;5;10;13;37;43;63
202,9,9,0,1;3;4;5;10;13;37;43;63
203,9,9,0,1;3;4;5;10;13;37;43;63
204,9,9,0,1;3;4;5;10;13;37;43;63
205,10,9,1,1;3;4;5;10;13;37;43;63
206,10,9,1,1;3;4;5;10;13;37;43;63
207,10,9,1,1;3;4;5;10;13;37;43;63
208,9,9,0,1;3;4;5;10;13;37;43;63
209,10,9,1,1;3;4;5;10;13;37;43;63
210,9,9,0,1;3;4;5;10;13;37;43;63
211,10,9,1,1;3;4;5;10;13;37;43;63
212,10,9,1,1;3;4;5;10;13;37;43;63
213,10,9,1,1;3;4;5;10;13;37;43;63
214,9,8,1,1;3;4;5;10;13;37;63
215,9,8,1,1;3;4;5;10;13;37;63
216,8,7,1,1;3;4;5;10;37;63
217,9,8,1,1;3;4;5;10;37;63;75
218,8,8,0,1;3;4;5;10;37;63;75
219,8,8,0,1;3;4;5;10;37;63;75
220,9,8,1,1;3;4;5;10;37;63;75
221,8,8,0,1;3;4;5;10;37;63;75
222,9,9,0,1;3;4;5;10;17;37;63;75
223,8,8,0,1;3;4;5;10;37;63;75
224,9,8,1,1;3;4;5;10;37;63;75
225,9,8,1,1;3;4;5;10;37;63;75
226,9,9,0,1;3;4;5;10;17;25;63;75
227,9,9,0,1;3;4;5;10;17;37;63;75
228,9,9,0,1;3;4;5;10;17;37;63;75
229,11,10,1,1;3;4;5;10;17;37;43;63;75
230,9,9,0,1;3;4;5;10;17;37;63;75
231,10,9,1,1;3;4;5;10;17;37;63;75
232,10,9,1,1;3;4;5;10;17;37;63;75
233,9,9,0,1;3;4;5;10;17;37;63;75
234,8,8,0,1;3;4;5;10;37;63;75
235,9,9,0,1;3;4;5;10;13;37;63;75
236,9,8,1,1;3;4;5;10;37;63;75
237,9,8,1,1;3;4;5;10;37;63;75
238,9,8,1,1;3;4;5;10;37;63;75
239,10,8,2,1;3;4;5;10;37;63;75
240,10,8,2,1;3;4;5;10;37;63;75
241,10,8,2,1;4;5;10;17;37;63;75
242,8,8,0,1;4;5;10;37;43;63;75
243,8,8,0,1;4;5;10;37;43;63;75
244,7,7,0,1;5;10;37;43;63;75
245,8,8,0,1;4;5;10;37;43;63;75
246,9,8,1,1;4;5;10;37;43;63;75
247,7,7,0,1;5;10;37;43;63;75
248,7,7,0,1;5;10;37;43;63;75
249,7,7,0,1;5;10;37;43;63;75
250,8,7,1,1;5;10;37;43;63;75
251,7,7,0,1;5;10;37;43;63;75
252,8,8,0,1;5;10;17;37;43;63;75
253,9,8,1,1;5;10;17;37;43;63;75
254,7,7,0,1;5;17;37;43;63;75
255,8,8,0,1;5;10;17;37;43;63;75
256,7,7,0,1;5;10;37;43;63;75
257,8,6,2,1;5;10;37;43;63
258,7,6,1,1;5;10;37;43;63
259,6,6,0,1;5;10;37;43;63
260,6,6,0,1;5;10;37;43;63
261,6,6,0,1;5;10;37;43;63
262,6,6,0,1;5;10;37;43;63
263,6,6,0,1;5;10;37;43;63
264,6,6,0,1;5;10;37;43;63
265,7,6,1,1;5;10;37;43;63
266,7,7,0,1;5;10;13;37;43;63
267,7,7,0,1;5;10;13;37;43;63
268,6,6,0,1;5;10;37;43;63
269,7,7,0,1;3;5;10;37;43;63
270,8,7,1,1;3;5;10;37;43;63
271,9,8,1,1;3;5;10;17;37;43;63
272,7,7,0,1;3;5;10;37;43;63
273,7,7,0,1;3;5;10;37;43;63
274,6,6,0,1;5;10;37;43;63
275,6,6,0,1;3;5;37;43;63
276,8,7,1,1;3;5;10;37;43;63
277,6,6,0,1;5;10;37;43;63
278,6,6,0,1;5;10;37;43;63
279,5,5,0,1;5;10;37;63
280,6,6,0,1;5;10;37;43;63
281,7,7,0,1;5;10;13;37;43;63
282,8,7,1,1;5;10;13;37;43;63
283,10,7,3,1;5;10;13;37;63;75
284,9,6,3,1;5;10;13;37;63
285,8,7,1,1;5;13;37;63;75;95
286,6,6,0,1;3;5;37;63;95
287,6,6,0,1;3;5;37;63;95
288,6,6,0,1;3;5;37;63;95
289,5,5,0,1;3;37;63;95
290,6,6,0,1;3;5;37;63;95
291,7,7,0,1;3;5;17;37;63;95
292,6,6,0,1;3;17;37;63;95
293,6,6,0,1;3;13;37;63;95
294,7,7,0,1;3;5;13;37;63;95
295,7,7,0,1;3;5;13;37;63;95
296,7,7,0,1;3;5;13;37;63;95
297,8,7,1,1;3;5;13;37;63;95
298,7,6,1,1;3;5;13;37;63
299,6,6,0,1;3;5;13;37;63
300,6,6,0,1;3;5;13;37;63
301,7,6,1,1;3;5;13;37;63
302,7,6,1,1;3;5;13;37;63
303,7,6,1,1;3;5;13;37;63
304,6,6,0,1;3;5;13;63;100
305,6,6,0,1;3;5;13;37;63
306,5,5,0,1;3;5;13;63
307,7,7,0,1;3;5;13;37;63;100
308,6,6,0,1;3;5;13;37;63
309,8,8,0,1;3;5;13;17;37;63;75
310,8,8,0,1;3;5;13;17;37;63;75
311,6,6,0,1;3;5;13;37;63
312,8,7,1,1;3;5;13;17;37;63
313,7,6,1,1;3;5;13;17;63
314,9,8,1,1;3;5;13;17;37;43;63
315,7,7,0,1;3;5;13;17;43;63
316,8,7,1,1;3;5;13;37;43;63
317,7,7,0,1;3;5;13;37;43;63
318,7,7,0,1;3;5;13;43;63;75
319,6,6,0,1;3;5;13;43;63
320,7,7,0,1;3;5;13;37;43;63
321,7,7,0,1;3;5;13;37;43;63
322,7,7,0,1;3;5;13;37;43;63
323,6,6,0,1;3;5;13;43;63
324,5,5,0,1;3;13;43;63
325,5,5,0,1;3;13;43;63
326,6,6,0,1;3;5;13;43;63
327,6,6,0,1;3;5;13;43;63
328,5,5,0,1;3;13;43;63
329,6,6,0,1;3;5;13;43;63
330,6,6,0,1;3;5;13;43;63
331,8,8,0,1;3;5;13;17;37;43;63
332,7,7,0,1;3;5;13;37;43;63
333,5,5,0,1;3;13;43;63
334,7,7,0,1;3;13;37;43;63;75
335,6,6,0,1;3;13;37;43;63
336,7,7,0,1;3;13;37;43;63;75
337,7,7,0,1;3;5;13;37;43;63
338,6,6,0,1;3;13;37;43;63
339,7,7,0,1;3;13;17;37;43;63
340,6,6,0,1;3;13;37;43;63
341,7,7,0,1;3;13;17;37;43;63
342,7,7,0,1;3;13;17;37;43;63
343,7,7,0,1;3;13;17;37;43;63
344,8,8,0,1;3;13;17;37;43;63;75
345,6,6,0,1;3;13;17;43;63
346,6,6,0,1;3;13;43;63;75
347,7,7,0,1;3;13;37;43;63;75
348,6,6,0,1;3;13;43;63;75
349,6,6,0,1;3;13;43;63;75
350,7,7,0,1;3;13;37;43;63;75
351,6,6,0,1;3;13;43;63;75
352,6,5,1,1;3;13;43;63
353,7,6,1,1;3;13;43;63;75
354,6,5,1,1;3;13;43;63
355,6,6,0,1;3;13;43;63;75
356,6,6,0,1;3;13;43;63;75
357,5,5,0,1;3;43;63;75
358,6,6,0,1;3;37;43;63;75
359,6,6,0,1;3;13;43;63;75
360,6,6,0,1;3;13;43;63;75
361,6,6,0,1;3;13;37;43;63
362,6,6,0,1;3;13;37;43;63
363,7,6,1,1;3;13;37;43;63
364,7,6,1,1;3;13;37;43;63
365,7,6,1,1;3;13;37;43;63
366,7,7,0,1;3;13;37;43;63;104
367,7,7,0,1;3;13;37;43;63;104
368,7,7,0,1;3;13;37;43;63;104
369,8,8,0,1;3;13;17;37;43;63;104
370,8,8,0,1;3;13;17;37;43;63;104
371,8,8,0,1;3;13;17;37;43;63;104
372,8,8,0,1;3;13;17;37;43;63;104
373,8,8,0,1;3;5;13;17;43;63;104
374,9,9,0,1;3;5;13;17;37;43;63;104
375,9,9,0,1;3;5;13;17;37;43;63;104
376,8,8,0,1;3;5;13;37;43;63;104
377,8,8,0,1;3;5;13;37;43;63;104
378,7,7,0,1;3;13;37;43;63;104
379,7,7,0,1;3;13;37;43;63;104
380,7,7,0,1;3;13;37;43;63;104
381,7,7,0,1;3;13;37;43;63;104
382,7,7,0,1;3;13;37;43;63;104
383,6,6,0,1;3;13;43;63;104
384,7,7,0,1;3;13;37;43;63;104
385,9,8,1,1;3;5;13;37;43;63;104
386,7,7,0,1;3;13;37;43;63;104
387,10,9,1,1;3;5;13;37;43;63;75;104
388,9,8,1,1;3;13;37;43;63;75;104
389,8,8,0,1;3;13;37;43;63;75;104
390,7,7,0,1;3;13;43;63;75;104
391,6,6,0,1;3;43;63;75;104
392,7,7,0,1;3;37;43;63;75;104
393,6,6,0,1;3;43;63;75;104
394,8,8,0,1;3;5;37;43;63;75;104
395,9,8,1,1;3;5;37;43;63;75;104
396,8,7,1,1;3;37;43;63;75;104
397,8,7,1,1;3;37;43;63;75;104
398,8,8,0,1;3;37;43;63;75;104;107
399,9,8,1,1;3;37;43;63;75;104;107
400,9,8,1,1;3;37;43;63;75;104;107
401,9,8,1,1;3;37;43;63;75;104;107
402,10,10,0,1;3;17;37;43;63;75;104;107;108
403,9,9,0,1;3;37;43;63;75;104;107;108
404,10,10,0,1;3;17;37;43;63;75;104;107;108
405,9,9,0,1;3;13;37;43;63;75;104;107
406,10,10,0,1;3;13;37;43;63;75;104;107;108
407,10,10,0,1;3;5;37;43;63;75;104;107;108
408,11,11,0,1;3;5;13;37;43;63;75;104;107;108
409,9,9,0,1;3;13;37;43;63;104;107;108
410,12,10,2,1;3;13;37;43;63;75;104;107;108
411,11,10,1,1;3;13;37;43;63;75;104;107;108
412,10,10,0,1;3;13;37;43;63;75;104;107;108
413,9,9,0,1;3;37;43;63;75;104;107;108
414,9,9,0,1;3;37;43;63;75;104;107;108
415,9,9,0,1;3;37;43;63;75;104;107;108
416,10,10,0,1;3;5;37;43;63;75;104;107;108
417,11,10,1,1;3;5;17;37;43;63;75;104;107
418,11,10,1,1;3;5;17;37;43;63;75;104;107
419,11,10,1,1;3;5;17;37;43;63;75;104;107
420,9,8,1,1;3;17;43;63;75;104;107
421,9,7,2,1;3;5;13;43;63;104
422,7,6,1,1;3;5;43;63;104
423,9,9,0,1;3;5;43;63;75;104;107;113
424,9,9,0,1;3;5;43;63;75;104;107;113
425,9,9,0,1;3;5;43;63;75;104;107;113
426,9,9,0,1;3;5;43;63;75;104;107;113
427,9,9,0,1;3;5;43;63;75;104;107;113
428,9,9,0,1;3;5;43;63;75;104;107;113
429,10,10,0,1;3;5;13;43;63;75;104;107;113
430,7,7,0,1;3;43;63;75;104;107
431,7,7,0,1;3;43;63;75;104;107
432,9,9,0,1;3;5;43;63;75;104;107;113
433,9,9,0,1;3;5;43;63;75;104;107;113
434,9,9,0,1;3;13;43;63;75;104;107;113
435,9,8,1,1;3;43;63;75;104;107;113
436,9,9,0,1;3;5;13;43;63;104;107;113
437,9,8,1,1;3;5;13;43;63;104;107
438,8,7,1,1;3;13;43;63;104;107
439,7,7,0,1;3;13;43;63;104;107
440,6,6,0,1;3;13;43;63;104
441,7,7,0,1;3;13;43;63;104;107
442,7,7,0,1;3;5;43;63;104;107
443,7,7,0,1;3;13;43;63;104;107
444,7,7,0,1;3;13;43;63;104;107
445,7,7,0,1;3;13;43;63;104;107
446,7,7,0,1;3;43;63;104;107;108
447,7,6,1,1;3;43;63;104;107
448,7,7,0,1;3;13;43;63;104;107
449,9,8,1,1;3;13;43;63;104;107;108
450,8,7,1,1;3;13;43;63;104;107
451,8,8,0,1;3;5;17;43;63;75;104
452,8,7,1,1;3;17;43;63;75;104
453,8,8,0,1;3;5;17;43;63;75;104
454,8,7,1,1;3;17;43;63;75;104
455,7,7,0,1;3;17;43;63;75;104
456,8,8,0,1;3;17;43;63;75;104;107
457,8,8,0,1;3;17;43;63;75;104;107
458,8,8,0,1;3;17;43;63;75;104;107
459,8,8,0,1;3;17;43;63;75;104;107
460,11,8,3,1;3;17;43;63;75;104;107
461,10,7,3,1;3;43;63;75;104;107
462,11,7,4,1;3;43;63;75;104;107
463,11,10,1,1;3;43;63;75;104;107;121;122;123
464,11,10,1,1;3;43;63;75;104;107;121;122;123
465,11,11,0,1;3;43;63;75;104;107;121;122;123;124
466,9,9,0,1;3;13;43;63;104;121;122;124
467,9,9,0,1;3;13;43;63;104;121;122;124
468,10,10,0,1;3;13;43;63;75;104;121;122;124
469,12,11,1,1;3;13;43;63;75;104;107;121;122;124
470,10,10,0,1;3;13;43;63;104;107;121;122;124
471,12,12,0,1;3;13;43;63;75;104;107;108;121;122;124
472,13,12,1,1;3;5;13;43;63;75;104;107;108;121;122
473,12,10,2,1;3;5;43;63;75;104;107;121;122
474,13,10,3,1;3;5;43;63;104;107;108;121;122
475,11,11,0,1;3;5;43;63;104;107;108;121;122;126
476,10,10,0,1;3;5;43;63;104;107;108;121;126
477,11,10,1,1;3;5;43;63;104;108;121;122;126
478,10,9,1,1;3;5;43;63;104;108;121;122
479,10,9,1,1;3;5;43;63;104;108;121;122
480,10,10,0,1;3;5;43;63;104;108;121;122;130
481,12,11,1,1;3;13;43;63;104;107;108;121;122;130
482,10,8,2,1;3;43;63;104;107;121;122
483,13,11,2,1;3;5;13;43;63;75;104;107;121;122
484,11,11,0,1;3;5;43;63;75;104;107;121;122;131
485,11,11,0,1;3;5;43;63;75;104;107;121;122;131
486,11,11,0,1;3;13;43;63;75;104;107;121;122;131
487,13,12,1,1;3;5;43;63;75;104;107;108;121;122;131
488,13,13,0,1;3;5;13;43;63;75;104;107;108;121;122;131
489,12,11,1,1;3;43;63;75;104;107;108;121;122;131
490,10,10,0,1;3;43;63;75;104;107;121;122;131
491,15,12,3,1;3;13;43;63;75;104;107;108;121;122;131
492,11,11,0,1;3;13;43;63;75;104;107;121;122;131
493,13,12,1,1;3;5;43;63;75;104;107;108;121;122;131
494,14,12,2,1;3;17;43;63;75;104;107;108;121;122;131
495,12,10,2,1;3;43;63;75;104;107;108;121;131
496,12,12,0,1;3;17;43;63;75;104;107;121;122;131;138
497,13,12,1,1;3;17;43;63;75;104;107;121;122;131;138
498,13,12,1,1;3;17;43;63;75;104;107;121;122;131;138
499,13,13,0,1;3;5;17;43;63;75;104;107;121;122;131;138
500,13,12,1,1;3;17;43;63;75;104;107;121;122;131;138
501,13,13,0,1;3;5;17;43;63;75;104;107;121;122;131;138
502,13,12,1,1;3;5;43;63;75;104;107;121;122;131;138
503,12,11,1,1;3;5;43;63;75;104;107;121;122;138
504,12,11,1,1;3;5;43;63;75;104;108;121;122;138
505,12,12,0,1;3;5;43;63;75;104;107;121;122;138;144
506,11,11,0,1;3;43;63;75;104;107;121;122;138;144
507,12,12,0,1;3;5;43;63;75;104;107;121;122;138;144
508,12,12,0,1;3;5;13;43;63;104;107;121;122;138;144
509,13,13,0,1;3;5;13;43;63;75;104;107;121;122;138;144
510,12,12,0,1;3;5;13;43;63;104;107;121;122;138;144
511,12,12,0,1;3;5;13;43;63;104;108;121;122;138;144
512,12,12,0,1;3;5;13;43;63;104;108;121;122;138;144
513,13,12,1,1;3;5;13;43;63;104;108;121;122;138;144
514,11,11,0,1;3;5;13;43;63;104;121;122;138;144
515,14,13,1,1;3;5;13;43;63;104;107;108;121;122;138;144
516,12,12,0,1;3;5;13;43;63;104;108;121;122;138;144
517,12,11,1,1;5;13;43;63;104;108;121;122;138;144
518,11,11,0,1;3;5;13;43;63;104;108;122;138;144
519,11,11,0,1;3;5;13;43;63;104;108;122;138;144
520,12,11,1,1;3;5;13;17;43;63;108;122;138;144
521,12,11,1,1;3;5;13;17;43;63;108;122;138;144
522,12,11,1,1;3;5;13;17;43;63;108;122;138;144
523,13,13,0,1;3;5;13;17;43;63;107;108;122;138;144;148
524,11,11,0,1;3;13;17;43;63;107;108;122;138;144
525,12,10,2,1;3;13;17;43;63;107;108;138;144
526,11,10,1,1;3;17;43;63;75;108;138;144;148
527,10,9,1,1;3;43;63;75;108;138;144;148
528,11,11,0,1;3;17;43;63;75;108;138;144;148;150
529,9,9,0,1;3;43;63;75;108;138;144;150
530,10,9,1,1;3;43;63;75;108;138;144;150
531,11,10,1,1;3;5;43;63;75;108;138;144;150
532,9,9,0,1;3;43;63;75;108;138;144;150
533,9,9,0,1;3;43;63;75;108;138;144;150
534,10,10,0,1;3;5;43;63;75;108;138;144;150
535,10,10,0,1;3;43;63;75;107;108;138;144;150
536,10,10,0,1;3;43;63;75;107;108;138;144;150
537,11,10,1,1;3;43;63;75;107;108;138;144;150
538,10,9,1,1;3;43;63;75;108;138;144;150
539,11,9,2,1;3;43;63;75;108;138;144;150
540,12,12,0,1;3;17;43;63;75;107;108;138;144;150;153
541,9,9,0,1;3;43;63;75;107;138;144;150
542,9,9,0,1;3;43;63;75;107;138;144;150
543,8,8,0,1;3;43;63;75;138;144;150
544,9,9,0,1;3;43;63;75;107;138;144;150
545,10,10,0,1;3;43;63;75;107;108;130;144;150
546,10,9,1,1;3;43;63;75;107;130;144;150
547,9,9,0,1;3;43;63;75;107;130;144;150
548,9,9,0,1;3;43;63;75;107;130;144;150
549,10,8,2,1;43;63;75;107;130;144;150
550,9,9,0,1;3;43;63;75;107;130;144;150
551,10,8,2,1;3;43;63;107;130;144;150
552,9,8,1,1;3;43;63;107;130;144;150
553,10,9,1,1;3;43;63;75;107;130;144;150
554,11,11,0,1;3;17;43;63;75;107;130;144;150;159
555,11,11,0,1;3;17;43;63;75;107;130;144;150;159
556,10,10,0,1;3;43;63;75;107;130;144;150;159
557,10,9,1,1;3;43;63;75;107;130;144;159
558,11,10,1,1;3;5;43;63;75;107;130;144;159
559,8,8,0,1;3;43;63;130;144;150;159
560,8,8,0,1;3;43;63;130;144;150;159
561,9,9,0,1;3;43;63;75;130;144;150;159
562,10,10,0,1;3;13;43;63;107;130;144;150;159
563,10,10,0,1;3;43;63;75;107;130;144;150;159
564,9,9,0,1;3;43;63;75;130;144;150;159
565,11,11,0,1;3;5;43;63;75;108;130;144;150;159
566,10,10,0,1;3;5;43;63;75;130;144;150;159
567,10,10,0,1;3;5;43;63;75;130;144;150;159
568,10,10,0,1;3;5;43;63;75;130;144;150;159
569,9,9,0,1;3;43;63;75;130;144;150;159
570,10,10,0,1;3;13;43;63;75;130;144;150;159
571,10,10,0,1;3;13;43;63;107;130;144;150;159
572,10,10,0,1;3;13;43;63;107;130;144;150;159
573,10,10,0,1;3;13;43;63;107;130;144;150;159
574,10,10,0,1;3;13;43;63;107;130;144;150;159
